Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7
mbrainz_8502,Overnite Encore: Lyrics Born Live!,Lyrics Born,2006-10-31,United States of America,"['Sydney (intro)', 'Shake It Off', 'Pack Up', 'Hott Bizness', 'Funk U Up', ""Lady Don't Tek No"", 'Stop Complaining (remix)', 'Aim for the Flickering Flame', 'Melbourne (intro)', 'Love Me So Bad', ""Callin' Out"", 'Do That There (medley)', ""I Can't Wait for Your Love"", ""I'm Just Raw"", 'Bad Dreams Prelude', 'Bad Dreams', 'Goodnite', 'Knock Knock', 'L-I-F-E', ""I'm Just Raw (remix)""]",
mbrainz_8515,Supernatural,Santana,1999-01-01,United States of America,"['(Da Le) Yaleo', 'Love of My Life', 'Put Your Lights On', 'Africa Bamba', 'Smooth', 'Do You Like the Way', 'Maria Maria', 'Migra', 'CorazÃ³n espinado', 'Wishing It Was', 'El farol', 'Primavera', 'The Calling / Day of Celebration']",
mbrainz_8518,Modern Times,Steps Ahead,1990-05-04,United States of America,"['Safari', 'Oops', 'Self Portrait', 'Modern Times', 'Radio-Active', 'Now You Know', 'Old Town']",
mbrainz_8528,Watershed Radio Sampler,Opeth,2008-01-01,United States of America,"['Porcelain Heart', 'Porcelain Heart', 'The Lotus Eater (edit)', 'The Lotus Eater', 'Heir Apparent']",
mbrainz_8534,The First Days of Spring,Noah and the Whale,2009-10-06,United States of America,"['The First Days of Spring', 'Our Window', 'I Have Nothing', 'My Broken Heart', 'Instrumental I', 'Love of an Orchestra', 'Instrumental II', 'Stranger', 'Blue Skies', 'Slow Glass', 'My Door Is Always Open']",
mbrainz_8540,Sarangi: The Music of India,"Khan, Sultan",1988-01-01,United States of America,"['Raga: Bageshree', 'Thumri']",
mbrainz_8542,Simple Things (Work It Out),Shit Robot,2009-07-14,United States of America,"['Simple Things (Work It Out)', 'Simple Things (Work It Out) (Todd Terje version)', 'Simple Things (Work It Out) (Serge Santiago remix)']",
mbrainz_8555,Remedy,Little Boots,2009-08,United Kingdom of Great Britain and Northern Ireland,"[""Remedy (Rusko's Big Trainers remix)"", 'Remedy (Style of Eye remix)']",
mbrainz_8562,Here Comes Trouble,"Icicle Works, The",1988-01-01,United Kingdom of Great Britain and Northern Ireland,"['Here Comes Trouble', 'Starry Blue Eyed Wonder (live)', 'For What Itâ€™s Worth Medley (live)', 'Rock â€™nâ€™ Roll']",
mbrainz_8566,Nocturne,"Alt, Susanne, Quartet",2004-10-11,Netherlands,"['Desire', 'Paludianity', 'Right Now', 'Saba', 'Verao', 'Simone', 'Chove Shiva', 'Uncertain', 'Nocturne']",
mbrainz_8576,Protein Source of the Future...Now!,"Mountain Goats, The",2002-04-23,United States of America,"['Going to Tennessee', 'Pure Heat', 'Hand Ball', 'The Window Song', 'Night of the Mules', 'Going to Malibu', ""Billy the Kid's Dream of the Magic Shoes"", 'Fresh Berries for You', 'Alphabetizing', 'Third Snow Song', 'The Monkey Song', 'Love Cuts the Strings', 'Pure Honey', 'Duke Ellington', 'Seed Song', 'Quetzalcoatal Comes Through', 'Omega Blaster', 'Coco-Yam Song', 'Alagemo', 'Two Thousand Seasons', 'Chinese Rifle Song', 'Yam, the King of Crops', 'Alpha Omega']",
mbrainz_8580,The Diamond Mine,Diamond D,2005-09-15,United States of America,"['Intro', 'Holla at Me', 'Live & Let Die', ""U Don't Owe Me"", 'We Run Things', 'We Gangstas', ""Let's Get High"", 'We Dem Niggas', ""Get 'em Open"", ""Y'all Niggaz Need to Know"", 'On My Grind', 'Test Me', 'Get Up', 'Words', 'Live My Life', 'Dollar Bill', 'Scream', ""Wet 'N' Slippery"", 'Bounce', ""U Don't Want It"", 'Interrogation', 'Shit Is Bananas', ""Why U Wanna Fuck Wit' Me""]",
mbrainz_8589,Stranger Than Fiction,Split Enz,1997-01-01,Australia,"['Late Last Night', 'Another Great Divide', 'My Mistake', 'Stranger Than Fiction', 'Walking Down a Road', 'History Never Repeats', 'Crosswords', 'Matinee Idyll (129)', 'Lovey Dovey', 'Time for a Change', 'Charley', 'Bold as Brass', 'I See Red', 'I Got You']",
mbrainz_8592,If the Musicâ€™s Loud Enoughâ€¦,d.b.s.,1996-01-01,Canada,"['No Room', 'P.E.', 'I Wanna Go Home', 'The Truce', ""The Scottish Drinkin' Song"", 'Friend', 'Uh... Hi', 'If You Really Had No Fear...', 'Red', 'Axiom', 'Politikill Song', 'Reality Is Rated R', 'Survive', 'Not Horrible', 'Perspective', ""Give 'em the Muzak""]",
mbrainz_8593,Set the Woods on Fire,Art in Manila,2007-08-07,United States of America,"['Time Gets Us All', 'Our Addictions', 'The Abomination', 'I Thought I Was Free', 'Set the Woods on Fire', 'Golden Dawn', 'Anything You Love', 'The Sweat Descends', 'Spirit, Run', 'Precious Pearl', 'The Game']",
mbrainz_8612,The Eternal qu'est que c'est for Barry,Bilge Pump,1997-01-01,United Kingdom of Great Britain and Northern Ireland,"[""My Leg's Gone Funky, Mr Scaramanga"", 'Full on Nascum', 'Fishos the Undeniable', 'Herman', 'Sling Your Hook', 'A Barry']",
mbrainz_8617,Recovery Dream EP,Adverb,2008-12-01,Russian Federation,"['False Identity', 'What If', 'A Place Cold Grace', 'Parkunglot Novel', 'Recovery Dream']",
mbrainz_8619,Mercury,Somatic Responses,2009-06-28,United Kingdom of Great Britain and Northern Ireland,"['Dead Star', 'Cymrojunk', 'Mercury', 'Hatework', 'Shinjuku Walk', 'Quantum Religion', 'Subdared', 'Mutating Virus', 'Erratic', 'Ulrich Would Be Proud']",
mbrainz_8627,Symfo (Official Sunrise Festival 2009 Theme),Rank 1,2009-07-07,Netherlands,Symfo,
mbrainz_8635,The Argumentative Bastards,"Argumentative Bastards, The",1989-01-01,New Zealand,"['Brave New Soldiers', 'Kill the Dogs', 'Fred', 'Video Nasty', 'Used Prophylactics', ""Sniffin'"", '(Take Me Home) Country Roads']",
mbrainz_8643,Nine Lives,"Raitt, Bonnie",1986-01-01,United States of America,"['No Way to Treat a Lady', ""Runnin' Back to Me"", 'Who But a Fool (Thief Into Paradise)', 'Crime of Passion', 'All Day, All Night', 'Stand Up to the Night', 'Excited', ""Freezin' (For a Little Human Love)"", 'True Love Is Hard to Find', 'Angel']",
mbrainz_8645,Die Mutter wÃ¤hlt das Todtenkleidchen,Gnaw Their Tongues,2007-01-01,Canada,"['Leichenbergen', 'And the Waters Shall Prevail Upon the Earth', '29 Needles', 'Die Mutter wÃ¤hlt das Todtenkleidchen']",
mbrainz_8646,The Future Was Shite,VXM feat.,2004-01-01,United States of America,"['Materialise!', '00012050', 'Smelly Cabinet', 'ChipBoard', 'Lord of Change', 'Black is Handy']",
mbrainz_8653,We Never Give Up,AAGSF,,,"['Who You Are Mr AAGSF', 'Leto, Part 1', 'Leto, Part 2: I Wish to Change All', 'Yi', 'Angel', 'We Never Give Up', 'Memory 3 Body Soul Prison', 'Wave', 'AAGSF Forever']",
mbrainz_8657,The World of The Statler Brothers,"Statler Brothers, The",1972-01-01,United States of America,"['Flowers on the Wall', 'King of the Road', 'Memphis', 'Iâ€™m Not Quite Through Crying', 'My Reward', 'You Canâ€™t Have Your Kate and Edith, Too', 'There Goes My Everything', 'Almost Persuaded', 'I Canâ€™t Help It (If Iâ€™m Still in Love With You)', 'Shenandoah', 'This Ole House', 'Billy Christian', 'Quite a Long, Long Time', 'The Wiffenpoof Song', 'I Still Miss Someone', 'Ruthless', 'Green, Green Grass of Home', 'Release Me', 'Walking in the Sunshine', 'Ruby, Donâ€™t Take Your Love to Town']",23.5 minutes
mbrainz_8664,About 'Needs' And 'Crisis',Rain of Dissolved Sedatives,2009-06-05,United States of America,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']",
mbrainz_8669,Contra,Once We Were,2006-11-20,Sweden,"['Buckets Have Ears', 'Hard Shoulder', 'Cut Corners', 'Left Field', 'Static', 'By Number and Skill', 'Carnival', 'Last Trolley', 'Roof, Please', 'End of Clear Sound', 'Three Minutes', 'It All Came Down']",31.52 minutes
mbrainz_8670,Up All Night,"Waifs, The",2003-01-01,United States of America,"[""Fisherman's Daughter"", 'Nothing New', 'London Still', 'Lighthouse', 'Flesh and Blood', 'Highway One', ""Since I've Been Around"", 'Fourth Floor', 'Rescue', 'Three Down', 'Sweetness', 'Up All Night']",
mbrainz_8680,Kick's For Liberation,USAO,2009-05-05,Japan,"['Intro', 'Vacuum Break', 'Directionality', ""Unstable Shake (RoughSketch's JumpStyle remix)"", 'Vacuum Break (Nanashi remix)', 'Add Insult to Injury', 'Kicked the Anyhow', '5ymphoTEK', 'Beat That Enters', 'Helical Penetration', '260', 'Unstable Sky and Others (DJ Sharpnel megamix)', 'Sakura Era']",
mbrainz_8699,The Best of The Statler Bros.,"Statler Brothers, The",1975-01-01,United States of America,"[""Bed of Rose's"", 'Whatever Happened to Randolph Scott', 'Do You Remember These', 'Pictures', 'Flowers on the Wall', ""The Class of '57"", ""I'll Go to My Grave Loving You"", 'Carry Me Back', 'Thank You World', 'New York City', 'Susan When She Tried']",
mbrainz_8708,Use Your Illusion,Guns Nâ€™ Roses,1998-08-25,United States of America,"['Live and Let Die', 'Donâ€™t Cry (original)', 'You Ainâ€™t the First', 'November Rain', 'The Garden', 'Dead Horse', 'Civil War', '14 Years', 'Yesterdays', ""Knockin' on Heaven's Door (edit)"", 'Estranged', ""Don't Cry (alternate lyrics)""]",
mbrainz_8709,Pathological Brutalistic Fermentation,Intestinal Strangulation,2006-04-09,United States of America,"['Grotesque Epidemic Induced by the Catastrophic Cerebral Separation Resulting in the Manipulation of a Cadaveric Masterpiece', 'Reanimation of Past Existence', 'Postmortal Prostitution', 'Homicidal Artistry', 'Thrones of Abysmal Torment', 'Haemophilus Ducreyi', 'Ectopic Gestation', 'Leather Face']",
mbrainz_8711,True Romance,Golden Silvers,2009-04-27,United Kingdom of Great Britain and Northern Ireland,"['Another Universe', 'True No.9 Blues', 'Magic Touch', ""My Love Is a Seed That Doesn't Grow"", 'Here Comes the King', 'Shakes', 'Queen of the 21st Century', 'Please Venus', 'Arrows of Eros', 'Fade to Black']",
mbrainz_8728,The Stripped Mixes,"Jackson, Michael",2009-07-28,United States of America,"['Iâ€™ll Be There', 'Ben', 'Whoâ€™s Loving You', 'Ainâ€™t No Sunshine', 'I Want You Back', 'ABC', 'Weâ€™ve Got a Good Thing Going', 'With a Childâ€™s Heart', 'Darling Dear', 'Got to Be There', 'Never Can Say Goodbye']",
mbrainz_8735,Echoes,Matt Bianco,2002-01-01,Japan,"['Fire', 'Summer Samba', 'Sumba', 'Home', 'All in a Day', 'Echoes', 'Something About Your Love', 'Love Like That', 'Never Give Up', 'Out of My Mind', 'Fire (Meltdown mix)']",
mbrainz_8737,...Of The Fallen,Avernus,1997-01-01,United States of America,"['Blood Gathers Frost', 'If I Could Exist', 'By Loves Will...Chaos', 'Renaissance', 'Ghost', 'Thousand Spirits', 'Beautiful Black Heart', 'Still Warm Ashes']",
mbrainz_8738,Brothers Grimm,Drapht,2008-05-18,Australia,"['Intro', 'Falling', 'The Money', 'Insomnia', 'Jimmy Recard', 'Dreams & Dreamers', 'A Good Year', 'Boom Boom Boom', 'Sound Man', ""Don't Wanna Work"", 'Rest in Peace', 'Where Yah From', 'Put on a Record', 'Lost', 'Lose Control']",
mbrainz_8751,Diorama,"Okawari, DJ",2008-05-28,Japan,"['Evening Comes', 'Chocolate (feat. Agehah)', 'Bluebird Story (feat. Jumelles)', 'Ring', 'Colors of Life', 'Synchronize', 'One for U', 'Aurora (feat. Eri Kamiya)', 'Coffee Break', 'Crescent Moon', 'TAYUTAU', 'Silent Night', 'Animal Forest', 'Times Fusion']",
mbrainz_8759,Spirit of Rumi,Vision II feat.,1997-01-01,United States of America,"['Seek in Your Heart', ""Don't Go Back to Sleep"", 'The Ocean', 'Eyes Go Blind (Aya)', 'The Breath (The Color of Dying)', 'The Center', 'Lovers / At Night We Fall', 'Nine Layers of Illusion', 'Desert Dusk', ""Don't Go Back to Sleep (reprise)"", 'The Great Mystery']",
mbrainz_8768,Bestial Black Metal Filth,Anal Blasphemy,2009-01-27,Finland,"['JeesuksenhÃ¤pÃ¤isyinitiaatio', 'Sexual Desecration of Islam Faith', 'Holy Scriptures Cleansing My Asshole', ""Blasphemous Arts of Satan '07"", 'Satan Rapes God', 'Goddess of Smut', 'Demonwolves', ""Masturbation on Jehovah's Altar '07"", 'Crucifix Perversion', 'Under the Leather Wings', 'Outroduction in Delusions...']",
mbrainz_8774,Monsters and Vortices EP,Posthuman,2009-08-03,United Kingdom of Great Britain and Northern Ireland,"['Krill', 'Callisto', 'Monsters Exist', 'The Karman Vortices', 'The Karman Vortices (Digitonal remix)']",
mbrainz_8788,Trouble in Rio,Ten Madison,2005-10-24,United Kingdom of Great Britain and Northern Ireland,"['Walker', 'Star', 'Bionic', 'Without Us?', 'Trouble in Rio', 'Mashines', 'Push the Elefant', 'Something Out There', 'The Inner Space', 'Tsunami', 'Beyond the Fire', 'The Dark Chamber']",
mbrainz_8791,City of Evil,Avenged Sevenfold,2005-06-07,United States of America,"['Beast and the Harlot', 'Burn It Down', 'Blinded in Chains', 'Bat Country', 'Trashed and Scattered', 'Seize the Day', 'Sidewinder', 'The Wicked End', 'Strength of the World', 'Betrayed', 'M.I.A.']",
mbrainz_8792,Against the Dark Trees Beyond,A Blaze Colour,1982-01-01,Belgium,"['Dark Trees Beyond', 'An Addict of Time']",
mbrainz_8811,Silent Echoes,D Creation,2009-05-06,Finland,"['Asleep', 'Fadeaway', 'Killdream', 'Drifting Forever', 'Way Past Out', 'Redemption', 'Somewhere', 'Paradise Sweet', ""'s Enough"", 'Reject Humanity']",
mbrainz_8813,Complete Punk Singles Collection,"Exploited, The",2005-01-01,United Kingdom of Great Britain and Northern Ireland,"['Army Life', 'Fuck the Mods', 'Crashed Out', 'Exploited Barmy Army', 'I Believe in Anarchy', 'What You Gonna Do', 'Dogs of War', 'Blown to Bits (live)', 'Dead Citites', ""Hitler's in the Charts Again"", 'Class War', 'S.P.G. (live)', 'Cop Cars (live)', 'Attack', 'Alternative', 'Y.O.P.', ""Computers Don't Blunder"", 'Addiction', 'Rival Leaders', 'Army Style', 'Singalongabushell', 'Jesus Is Dead', 'Politicians', 'Drug Squad', 'Privacy Invasion', 'War Now', 'United Chaos & Anarchy', 'Sexual Favours']",
mbrainz_8816,Wolfgang Amadeus Phoenix,Phoenix,2009-01-01,United Kingdom of Great Britain and Northern Ireland,"['Lisztomania', '1901', 'Fences', 'Love Like a Sunset, Part I', 'Love Like a Sunset, Part II', 'Lasso', 'Rome', 'Countdown', 'Girlfriend', 'Armistice', 'Lisztomania (Alex Metric remix)', 'Fences (The Soft Pack remix)', '1901 Bo Flexâ€™d (Passion Pit remix)', 'Lasso (2 Door Cinema club remix)', 'Fences (25 Hrs a Day remix)', '1901 (Lâ€™Aiglon remix)', 'Love Like a Sunset (Turzi remix)', 'Fences (Boombass remix)', 'Lisztomania (25hrs a Day remix)', 'Fences (Friendly Fires remix)', 'Armistice (Yacht remix)', 'Girlfriend (Young Fathers remix)', 'Fences (Chairlift remix)', 'Rome (Neighbours with Devendra Banhart)', 'Love Like a Sunset (Animal Collective remix / Deakinâ€™s Jam)']",68.15 minutes
mbrainz_8820,California Jubilee Singers,California Jubilee Singers,1965-01-01,,"['Joshua Fit the Battle of Jericho', ""Dere's a Balm in Gilead"", 'Certainly Lord', 'Ride on, King Jesus', 'His Name So Sweet', 'My God Is So High', 'Swing Low, Sweet Chariot', 'Hold De Light', ""Ole Ark's A-Moverin'"", 'Poor Man Lazarus', 'Every Time I Feel the Spirit', 'Keep a Inchin Along', 'Get on Board', 'Amen', 'I Got to Lie Down', 'Old Man River', ""I Got Plenty O' Nuttin'"", 'Let the Hebin Light Shine on Me', ""Climbin' Up the Mountain"", 'River Chant', 'Dem Bones', 'Rock My Soul', 'Little David']",
mbrainz_8849,Indestructible Junkshow,Bisybackson,,,"['Beginners', 'An Open Letter To The Boys In The Back Playing Air Guitar', 'Commander', 'Car Are Turning Into Beds Now', 'The Next Trick']",
mbrainz_8857,Spiritual,"Coltrane, John",2001-07-23,Germany,"['Blue Train', 'Spiritual', 'Naima', 'My Favorite Things', 'Impressions', 'Traneing In']",
mbrainz_8861,The Girl From the Future Who Lit Up the Sky With Golden Worlds,Sendelica,2009-01-01,Russian Federation,"['Standing on the Edge', 'Manhole of the Universe', 'Hazelnut', 'Dark Disko', 'The Girl From the Future', 'Glory Bee', 'Several Species of Furry Humans Gathered Together in a Cave Grooving Like Groovy Picts']",
mbrainz_8862,The Empire of White Power,Ohtar,,,"['The Abyss', 'Winter Delight', 'Wojny Czas', 'Wind of Despair', 'Poganski Triumf']",
mbrainz_8866,Spirit of Africa,"Kenyan Boys Choir, The",2009-01-01,United Kingdom of Great Britain and Northern Ireland,"['Tuli Tuli', 'Homeless', 'Jambo Bwana', 'Kothbiro', ""Nkosi Sikelel'l Afrika"", 'Kikererani Lelo (Kapchesan)', 'Malaika', 'Asiyo', 'Soon and Very Soon', 'Kayra Sillo', ""Oluwa L'Oluso Agutan Mi (The Lord's My Shepherd)"", 'Obama Yanza Vutswa', 'Lilova', 'O Holy Night']",
mbrainz_8867,Welcome to the Dance,No Angels (and others),2009-09-11,Germany,"['One Life', 'Thunderstorm', 'Rebel', 'Welcome to the Dance', 'Derailed', 'Dance-Aholic', 'Shut Your Mouth', 'Up Against the Wall', 'Young Love', 'Too Old', 'Down Boy', 'Stop', 'Minute by Minute', 'Say Goodbye']",
mbrainz_8868,Dynamo,Faded Paper Figures,2008-07-14,United States of America,"['North by North', 'B Film', 'Logos', 'Polaroid Solution', 'Future Self', 'Metropolis', 'I Fell Off My Name', ""Geneva's Gone"", 'The Persuaded', 'Being There', 'Speeches', 'Red State']",
mbrainz_8886,Surrender,"Grit, The",2007-01-01,United Kingdom of Great Britain and Northern Ireland,"['Surrender (radio version)', 'Accosted', 'A Geordies Song (live)']",
mbrainz_8893,Songs of Innocence and Experience,Brief Weeds,1990-01-01,United States of America,"['Love and Umbrellas', 'Magic Pail', 'Hands of Love', 'Coastal Memories']",
mbrainz_8914,Hubble Bubble (Toil and Trouble),"Mann, Manfred",1964-01-01,United Kingdom of Great Britain and Northern Ireland,"['Hubble Bubble (Toil and Trouble)', ""I'm Your Kingpin""]",
mbrainz_8917,Land of Enchantment,"Murphey, Michael Martin",1989-01-01,United States of America,"[""Never Givin' Up on Love"", 'Got to Pay the Fiddler', 'Route 66', 'Land of Enchantment', 'Jukebox', 'Woodsmoke in the Wind', 'The Heart Knows the Truth', 'Land of the Navajo', 'Desperation Road', 'Family Tree']",
mbrainz_8920,European Echoes,"Schoof, Manfred",1969-01-01,Germany,"['European Echoes (part 1)', 'European Echoes (part 2)']",
mbrainz_8933,Butterfly Love,Steel Pole Bath Tub,1989-01-01,United States of America,"['Time to Die', 'I Am Sam I Am', ""Welcome Aboard It's Love"", 'Bee Sting', 'Hey Bo Diddley', 'Swerve', 'Thru the Windshield of Love', 'Heaven on Dirt', 'Tear It Apart']",
mbrainz_8935,Graham Smith Is the Coolest Person Alive,Kleenex Girl Wonder,1998-01-20,United States of America,"['The Bostonians', 'Five Minutes', 'Mildly Obsessed', 'Put It on the Desk', 'Road to San Francisco', 'Mosess Alone', 'Julie & Barbara', 'You Need Me', 'I Invented the Drums', 'Ponyoak', 'The Prince of the Major Leagues', 'Turn the Bitch Off', 'Dog Protects Wife', 'Cavewoman', 'What Is Your Posture', ""I Can't Humanize"", 'Data for the Turtle in the Maze', 'The Muscles Into Mountains', 'Great Alcoholics', 'May Be Icy']",
mbrainz_8936,Beyond the Gates of Insanity,Darktrance,2009-09-09,Russian Federation,"['Beyond the Gates of Insanity', 'Drained', ""Don't Want to Miss You"", 'Dreams Are Hollow', 'Duskworld', 'Shadows of Spirits', 'Alone']",
mbrainz_8941,The Crack Edge Monsters' Movie Simulation Rape Of French Cult,ROSEN KREUZ,1992-07-25,Japan,"['Loud Sonic Chainsaw Your Machine Extacy', 'Drive With Blindfold Sheep', 'My Beautiful Stone Flute', 'Weeping Invisible Night', 'Wild Child Next Door', 'Moon Melting In The Morning', 'Super Natural Sugarless Fingertip']",
mbrainz_8950,Unplugged,Baze,2007-11-02,Switzerland,"['Mis', 'Himutruurig', 'BÃ¤rg ab', 'LÃ¤ngwilig', 'Herbscht i mirÃ¤ Stadt', 'Leider', 'Leider hÃ¤tts nie...', 'Disco disco', 'Cha nÃ¼t drfÃ¼r', 'Guet so wis isch', 'WohÃ¤rÃ¤ geisch?', 'Tolle Typ', 'Aus', 'Morn wider nÃ¼mm', 'Ender weniger', 'Aus klar?']",
